Team,Team Oppt,1st_down_plays,1st_down_avg_yds,Opp_1st_dn_plays,Opp_1st_dn_avg_yds,1st_down_rush_calls,1st_down_pass_calls
BC,"4,055 3,567",569,7.13,556,6.42,184,385
CGY,"3,401 3,743",542,6.27,555,6.74,228,314
EDM,"3,715 3,777",512,7.26,557,6.78,231,281
HAM,"3,217 4,213",540,5.96,565,7.46,235,305
MTL,"3,551 3,257",537,6.61,548,5.94,228,309
OTT,"3,581 4,101",579,6.18,557,7.36,262,317
SSK,"3,305 4,064",569,5.81,563,7.22,203,366
TOR,"4,079 3,490",548,7.44,592,5.9,267,281
WPG,"4,406 3,098",595,7.41,498,6.22,281,314
CFL,"33,310","4,991",6.67,"4,991",6.67,"2,119","2,872"
