Team,,C2,FG,Sgl,S/T,TM_TDs_FR,TM_TDs_PR,TM_TDs_KOR,TM_TDs_FGM,TD,C1,Team_TDs_Rush,Team_TDs_Pass,Team_TDs_Int,Team_points_Q1,Team_points_Q2,Team_points_Q3,Team_points_Q4,Team_points_OT
BC,,0,20,4,0,1,0,0,0,17,16,4,12,0,41,59,38,44,0
CGY,,1,22,3,0,1,0,0,0,15,9,6,8,0,33,50,29,49,9
EDM,,1,8,6,0,0,0,0,0,11,7,2,8,1,14,28,32,31,0
HAM,,2,17,1,0,2,0,0,0,14,6,5,6,1,19,31,56,40,0
MTL,,0,18,1,0,0,1,0,0,11,10,3,5,2,30,40,19,42,0
OTT,,5,21,1,0,0,1,0,0,12,6,6,3,2,24,49,20,45,14
SSK,,1,15,3,0,0,2,0,0,13,10,2,9,0,24,19,41,48,6
TOR,,2,12,5,0,0,2,0,0,25,22,12,8,3,49,64,44,60,0
WPG,,0,15,3,2,0,1,0,0,20,18,6,13,0,52,45,60,30,3
CFL,,12,148,27,2,4,7,0,0,138,104,46,72,9,286,385,339,389,32
