Team,TD,10+,20+,yds_per_game,Opp_rush_10+,Opp_rush_20+,Att,Yards,Avg,1st_down_rush_Att,1st_down_rush_Yds,1st_down_rush_Avg,QB_rush_Att,QB_rush_Yds,QB_rush_Esc,Opp_rush_Atts,Opp_rush_Yards,Opp_rush_Avg,Opp_rush_TD
BC,9,34,5,78.4,40,5,282,"1,333",4.7,179,870,4.9,82,403,35,315,"1,574",5.0,15
CGY,11,40,5,91.4,57,14,301,"1,463",4.9,204,"1,017",5.0,60,234,16,346,"2,016",5.8,12
EDM,13,71,16,126.9,62,10,354,"2,158",6.1,222,"1,441",6.5,123,859,68,397,"2,304",5.8,19
HAM,11,56,6,97.3,56,14,330,"1,654",5.0,225,"1,118",5.0,68,388,34,363,"1,937",5.3,19
MTL,14,40,10,103.6,61,12,338,"1,761",5.2,219,"1,160",5.3,102,514,41,331,"1,892",5.7,19
OTT,22,71,15,127.8,40,9,390,"2,172",5.6,245,"1,321",5.4,134,816,59,333,"1,476",4.4,16
SSK,13,44,7,87.2,66,10,326,"1,482",4.5,191,936,4.9,79,318,28,390,"2,025",5.2,18
TOR,27,50,12,113.5,41,2,347,"1,816",5.2,227,"1,147",5.1,58,273,22,305,"1,344",4.4,6
WPG,17,59,10,136.0,42,10,377,"2,176",5.8,247,"1,459",5.9,62,229,11,265,"1,447",5.5,13
CFL,137,465,86,213.5,465,86,"3,045","16,015",5.26,"1,959",###,5.34,768,"4,034",314,"3,045",16015,5.3,137
