2023 CFL,Unnamed: 0,2023 PENALTIES BY TEAM: (INCL. DECLINED),Unnamed: 1,Unnamed: 2,No Yards / IDK 710,Unnamed: 3,58 12.2
PENALTIES BY TEAM,,BC CGY EDM HAM MTL OTT SSK,TOR,WPG,Illegal Kicks OB 180,,18 10.0
PREVENTABLE:,CFL,,,,Offence - Hold/Il. Block:,,
Offside - Offence,40,6 5 5 4 8 3 1,6,2,Holding & Illegal Block 906,,119 7.6
Offside - Defence,102,16 3 19 10 15 10 11,12,6,All Other Calls:,,
Procedure,72,7 10 6 16 1 8 9,10,5,"Offside, Proc., Tm Ct ... 1,417",,308 4.6
Procedure No End,9,0 0 0 3 2 0 0,1,3,,,
Illegal Sub/Too Many Men,20,2 2 5 2 4 0 1,4,0,,,
Illegal  Formation,1,1 0 0 0 0 0 0,0,0,2023 PENALTIES BY WEEK:,,In 2022
Illegal Participation,6,0 2 1 0 1 0 0,0,2,Each Week Yr to Date,,Averages
Time Count,41,8 3 1 6 4 2 2,10,5,Wk Pen Avg Pen Cum,,Pen Cum
Objectionable Conduct,50,2 3 5 10 11 2 6,10,1,1  64 16.0 64 16.0,,60 15.0
No Yards,53,5 8 9 8 4 5 9,2,3,2  62 15.5 126 15.8,,71 16.4
IDK (Ill. Downfield),5,0 0 2 2 1 0 0,0,0,3  58 14.5 184 15.3,,54 15.4
Contacting Kicker,3,0 0 1 0 2 0 0,0,0,4  50 16.7 234 15.6,,87 17.0
Illegal Punt,13,2 1 3 2 0 2 1,0,2,5  66 16.5 300 15.8,,39 16.4
Illegal Kickoff,5,0 0 2 2 0 1 0,0,0,6  77 19.3 377 16.4,,82 17.1
TECHNICAL:,,,,,7  67 16.8 444 16.4,,58 16.7
Intentional Ground,9,0 1 3 2 0 0 1,0,2,8  59 14.8 503 16.2,,48 16.1
Holding - Offence,100,16 9 13 6 8 10 14,13,11,9  69 17.3 572 16.3,,61 16.0
Illegal Blk - Offence,19,1 3 1 3 1 1 2,5,2,10  67 16.8 639 16.4,,79 16.4
Holding - Return,73,12 8 7 13 11 7 8,2,5,11  56 14.0 695 16.2,,82 16.8
Illegal Blk - Return,43,4 8 5 4 10 2 1,4,5,12  62 15.5 757 16.1,,46 16.3
Defensive Pass Interf.,65,8 9 12 8 5 5 7,5,6,13  69 17.3 826 16.2,,58 16.2
Illegal Contact (ICR),38,9 5 7 2 4 2 6,0,3,14  51 12.8 877 15.9,,61 16.1
Off. Pass Interference,9,0 2 0 2 1 0 0,0,4,15  58 14.5 935 15.8,,53 16.2
Inelig Rec/Ill Fwd Pass,0,0 0 0 0 0 0 0,0,0,16  64 16.0 999 15.9,,50 16.2
Pyramiding/Ill Inter*,5,0 1 2 1 0 1 0,0,0,17,,57 16.1
ROUGHNESS:,,,,,18,,72 16.2
UR - General,130,14 13 18 12 14 17 14,21,7,19,,58 16.1
UR - Roughing Passer,39,6 4 3 6 5 1 4,5,5,20,,62 16.1
UR - Face Mask,29,2 4 2 4 4 5 5,3,0,21,,72 16.2
UR - Horse Coll Tackle,11,2 0 3 0 1 2 1,1,1,,,
UR - Blindside Block,3,0 0 1 0 0 0 2,0,0,,,
UR - Clip/Crack Back,0,0 0 0 0 0 0 0,0,0,,,
UR - Cut/Chop Block,1,0 0 0 0 0 1 0,0,0,,,
UR - Spearing,1,0 0 1 0 0 0 0,0,0,,,
UR - Piling On,0,0 0 0 0 0 0 0,0,0,,,
UR - Roughing Kicker,2,0 0 0 1 0 1 0,0,0,,,
Rough Play DQ,2,0 0 1 0 1 0 0,0,0,,,
ACCEPTED,999,110 91 118 112 103 79 91,103,71,,,
DECLINED (included),(121),(13) (13) (20) (17) (15) (9) (14),(11),(9),,,
