Team,GIVEAWAYS:_Dns,T/Os,Opp_Pts,OFF1 Ret2,TAKEAWAYS:_Dns,Ratio,GIVEAWAYS:_Fum,GIVEAWAYS:_Int,TAKEAWAYS:_Fum,TAKEAWAYS:_Int,Opp_team_T/O,Team_pts
BC,11,44,150,40 (3),9,-12,10,23,8,15,32,72
CGY,6,28,72,26 (2),12,+10,6,16,10,16,38,92
EDM,15,43,95,41 (2),7,-18,9,19,5,13,25,35
HAM,11,42,108,41 (1),9,0,10,21,14,19,42,93
MTL,5,33,83,31 (2),11,+10,12,16,12,20,43,118
OTT,10,42,82,39 (3),6,-2,16,16,12,22,40,125
SSK,16,49,118,46 (3),5,-20,15,18,9,15,29,42
TOR,7,24,46,22 (2),11,+25,4,13,13,25,49,141
WPG,7,34,78,33 (1),18,+7,12,15,11,12,41,114
CFL,88,339,832,319 (19),88,2023,94,157,94,157,339,832
