Team,C2,FG,Sgl,S/T,Oppt_TDs_PR,Oppt_TDs_KOR,Oppt_TDs_FGM,TD,C1,Oppt_TDs_Rush,Oppt_TDs_Pass,Oppt_TDs_Int,Oppt_TDs_FR,Oppt_points_Q1,Oppt_points_Q2,Oppt_points_Q3,Oppt_points_Q4,Oppt_points_OT
BC,1,45,6,0,1,1,0,43,38,18,20,3,0,68,146,108,109,8
CGY,3,41,9,0,4,0,0,44,33,13,24,3,0,83,134,84,120,14
EDM,4,48,8,1,0,0,1,52,43,21,25,3,2,102,142,149,124,0
HAM,1,39,5,3,1,0,0,45,39,19,22,3,0,106,126,80,127,0
MTL,1,37,4,0,0,0,0,37,33,19,17,0,1,95,100,75,102,0
OTT,3,39,10,0,2,0,1,52,35,16,29,1,3,84,134,124,129,9
SSK,2,47,9,2,2,0,0,57,51,20,31,2,2,88,177,115,162,9
TOR,3,31,4,0,0,1,0,40,31,7,29,2,1,76,119,66,113,0
WPG,5,38,10,0,0,1,0,34,26,15,11,4,3,109,90,75,76,14
CFL,23,365,65,6,10,3,2,404,329,148,208,21,12,811,"1,168",876,"1,062",54
