Team,TD,10+,20+,yds_per_game,Opp_rush_10+,Opp_rush_20+,Att,Yards,Avg,1st_down_rush_Att,1st_down_rush_Yds,1st_down_rush_Avg,QB_rush_Att,QB_rush_Yds,QB_rush_Esc,Opp_rush_Atts,Opp_rush_Yards,Opp_rush_Avg,Opp_rush_TD
BC,10,35,5,77.3,45,7,297,"1,391",4.7,185,893,4.8,86,420,37,346,"1,787",5.2,18
CGY,14,49,8,99.5,61,14,346,"1,791",5.2,228,"1,206",5.3,70,259,18,398,"2,246",5.6,14
EDM,15,73,17,123.6,66,10,367,"2,224",6.1,231,"1,492",6.5,129,878,70,431,"2,459",5.7,21
HAM,12,58,6,96.7,57,15,346,"1,740",5.0,235,"1,184",5.0,83,449,35,379,"2,016",5.3,19
MTL,14,41,11,102.2,63,12,354,"1,840",5.2,229,"1,227",5.4,106,524,43,347,"1,978",5.7,20
OTT,22,77,15,127.6,41,9,411,"2,296",5.6,274,"1,488",5.4,146,914,67,352,"1,523",4.3,17
SSK,14,46,7,84.4,70,12,342,"1,519",4.4,203,959,4.7,85,334,29,413,"2,208",5.3,20
TOR,30,55,14,113.7,49,2,389,"2,046",5.3,267,"1,385",5.2,75,374,30,342,"1,505",4.4,7
WPG,20,66,10,139.1,48,12,448,"2,503",5.6,284,"1,671",5.9,81,279,15,292,"1,628",5.6,15
CFL,151,500,93,214.2,500,93,"3,300","17,350",5.26,"2,136","11,505",5.39,861,"4,431",344,"3,300",17350,5.3,151
