Team,GP,Record_W,Record_L,Pct,Home_W,Home_L,Away_W,Away_L,Scoring_PF,Scoring_PA,Scoring_Diff
BC,13,9,4,0.692,5,1,4,3.0,350.0,279.0,+71
CGY,13,4,9,0.308,2,4,2,5.0,306.0,350.0,-44
EDM,14,4,10,0.286,2,5,2,5.0,280.0,365.0,-85
HAM,13,6,7,0.462,2,5,4,2.0,284.0,349.0,-65
MTL,13,6,7,0.462,3,4,3,3.0,296.0,322.0,-+26
OTT,13,3,10,0.231,2,4,1,6.0,312.0,351.0,-39
SSK,13,6,7,0.462,4,3,2,4.0,275.0,389.0,-114
TOR,12,11,1,0.917,6,0,5,1.0,410.0,264.0,+146
WPG,14,10,4,0.714,6,1,4,3.0,448.0,292.0,+156
2023 Total,59,59,59,32.0,27,27,32,,50.2,,
In 2022,81,81,81,37.0,44,44,37,,50.4,,
